name,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
Sunny 2 bedroomed top floor flat,Corstorphine,Apartment,Entire home/apt,4,2,2,3,130,98
Edinburgh City Centre Town House  Flat,New Town West,Apartment,Entire home/apt,4,1,1,2,200,60
"Quirky, arty apartment in Abbeyhill",Abbeyhill,Apartment,Entire home/apt,2,1,1,1,100,96
Royal Mile near Castle - overlooks Writers Museum,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,3,165,90
Sunny Room in house with beautiful views,Comiston and Swanston,House,Private room,2,1,1,1,25,97
Edinburgh- Dbl room great location,Easter Road and Hawkhill Avenue,Apartment,Private room,2,1,1,1,35,98
"Central dble/en-suite,free parking",Hillside and Calton Hill,Apartment,Private room,2,1,1,1,30,98
Booklover's Bed With a View,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,0,1,85,94
Bright  Clean  Double Room  Ensuite,Prestonfield,House,Private room,2,1,1,1,60,95
Bright & Clean Single Room /Central,Prestonfield,House,Private room,1,1,1,1,45,97
Exclusive en-suite family room near City & airport,"Barnton, Cammo and Cramond South",Guest suite,Private room,4,1,2,3,69,99
Bright term time room 100m to beach buses & shops,Joppa,Townhouse,Private room,3,2,1,3,66,94
Bright long term room 100m to beach buses& shops,Portobello,House,Private room,3,2,1,2,80,87
One of the rooms in Zeb's flat,Easter Road and Hawkhill Avenue,Apartment,Private room,2,NA,1,1,80,95
Comfy Room behind Holyrood Palace,Abbeyhill,Apartment,Private room,2,1,1,1,30,94
3 Bedrm Hse: Amazing Locn & Spec,Tollcross,House,Entire home/apt,8,2,3,4,275,NA
Cloudberry Apt. - Free Parking,Newington and Dalkeith Road,Apartment,Entire home/apt,4,1,2,2,140,100
Single Bedroom in colony flat,Meadowbank and Abbeyhill North,Apartment,Private room,1,1,1,1,50,99
Bright 2 br flat walking distance Royal Mile,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,2,2,90,98
Central Edinburgh 1 Bedroom Flat,Deans Village,Apartment,Entire home/apt,2,1,1,1,85,97
Greyfriars Bobby Apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,85,98
"Water of Leith View, Edinburgh",North Leith and Newhaven,Apartment,Entire home/apt,6,2.5,3,5,112,97
Castle View in Trendy Stockbridge,Stockbridge,Apartment,Entire home/apt,4,1,2,2,95,96
Royal Mile Apt1- Historic Old Town Centre,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,1,2,4,99,94
The Pilton Hilt-on large sgl/twin,Granton West and Salvesen,Apartment,Private room,3,1,1,3,20,83
Pretty avenue house in N. Edinburgh,Boswall and Pilton,House,Private room,2,1,1,2,65,95
"Royal Mile Apartment, 1 bedroom","Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,3,1,1,1,65,97
"Lovely Quiet Apartment in Gorgie, near City Centre",Gorgie East,Apartment,Entire home/apt,4,1,1,2,67,93
"Gorgeous castle-view apartment, city-centre",Tollcross,Apartment,Entire home/apt,3,1,1,2,67,93
Bright modern waterfront apartment,Western Harbour and Leith Docks,Apartment,Private room,3,1,1,2,80,95
Pilton Hilt-on Double Bedroom,Granton West and Salvesen,Apartment,Private room,2,0.5,1,1,20,78
Twin room suitable for 1 or 2 pax,Granton West and Salvesen,Apartment,Private room,2,1,1,2,15,82
Traditional Central Double room incl. Breakfast,Leith (Albert Street),Apartment,Private room,2,NA,1,1,45,85
LUXURY  Edinburgh City Centre Garden Flat,Deans Village,Apartment,Entire home/apt,4,0,2,3,125,97
Central Edinburgh Apartment NewTown,Stockbridge,Apartment,Entire home/apt,6,2.5,3,3,150,93
The Park -  Holyrood Road,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,2,2,3,150,94
Edinburgh room for 2-great location,Easter Road and Hawkhill Avenue,Apartment,Private room,2,1,1,1,35,97
city centre mountain view log fire,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,2,200,100
Double bedroom & clean bathroom,Great Junction Street,Apartment,Private room,2,1,1,1,39,96
"Amazing Views&Apartment, CityCentre",Abbeyhill,Apartment,Entire home/apt,6,2,3,3,160,99
Beautiful Grassmarket Apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,1,1,150,99
Db Room in the heart of Edinburgh*,Meadows and Southside,Apartment,Private room,2,1,1,1,65,98
❤ 4 Poster Family Apt ☆ petfriendly ☆ Free Parking,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,6,1,2,4,95,86
❤ Family apt ☆ Free WiFi & parking ☆ Pet-friendly,Easter Road and Hawkhill Avenue,Apartment,Entire home/apt,4,1,1,3,59,84
Elegant Stylish Central 5 Bed TownHouse +fast wifi,Deans Village,House,Entire home/apt,16,NA,5,16,56,87
EDINBURGH ROYAL MILE APARTMENT,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,5,1,2,3,102,97
Sunny room in Edinburgh+free parking+breakfast,Baberton and Juniper Green,House,Private room,4,1,2,3,39,98
"Great room in good location, quiet yet central",Newington and Dalkeith Road,Apartment,Private room,1,1,1,1,33,96
Edinburgh by the sea - Portobello,Portobello,Apartment,Entire home/apt,3,1.5,1,2,65,93
Beautiful flat by sea - Portobello,Portobello,Apartment,Entire home/apt,3,1,1,2,59,94
"2 bedroomed flat, Holyrood Palace","Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,5,1,2,4,121,96
Luxurious City Centre Apartment with Castle views,Deans Village,Apartment,Entire home/apt,5,1,2,2,190,92
Immaculate Edinburgh 2 bedroom flat,Polwarth,Apartment,Entire home/apt,4,1,2,3,55,99
Beautiful Apt with lift by Castle,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,1,2,182,89
Beautiful Two bed Apartment in Leith with parking,Pilrig,Apartment,Entire home/apt,6,1,2,3,75,93
Beautiful Georgian Main Door Apartment,The Shore and Constitution Street,Apartment,Entire home/apt,5,1,2,4,173,91
