name,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
Central double room,Dalry and Fountainbridge,Apartment,Private room,2,1,1,1,55,93
Newly refurbished bright and spacious double room.,Dalry and Fountainbridge,Apartment,Private room,2,1,1,1,56,96
Stylish and comfortable,"Blackford, West Mains and Mayfield Road",House,Private room,2,1,1,1,60,100
Welcoming and comfortable room in the city centre,Polwarth,Apartment,Private room,2,1,1,1,41,93
"Quiet, secluded top floor flat very central 37/5.",Deans Village,Apartment,Entire home/apt,4,1,1,1,100,97
Designer York Place 5* Apartment,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,75,98
Comfortable flat in city centre. Free parking.,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,1,2,2,150,81
Bright spacious flat in Edinburgh's Shore area,The Shore and Constitution Street,Apartment,Private room,2,1,1,1,70,92
"Comfortable, airy, 3 bed duplex flat",Carrick Knowe,Apartment,Entire home/apt,5,2,3,3,165,80
2 bedroom near city centre and Murrayfield,Balgreen and Roseburn,Apartment,Entire home/apt,4,1,2,2,130,90
Cosy double bedroom in the heart of Edinburgh,Tollcross,Apartment,Private room,2,1,1,1,50,93
Bright Comfortable single room,The Grange,House,Private room,1,1,0,1,28,NA
Comfy & Cosy room next to ‘The Shore',South Leith,Apartment,Private room,2,1,1,1,30,91
"Cosy king bed with breakfast, Portobello Beach",Portobello,Apartment,Private room,2,1.5,1,1,50,97
"Cosy, stylish 55m2 flat close to city centre",Easter Road and Hawkhill Avenue,Apartment,Entire home/apt,3,1.5,1,1,98,98
Nice central flat with good parks near the canal,Dalry and Fountainbridge,Apartment,Private room,2,1,1,1,60,NA
The comfy guest room,Joppa,Apartment,Private room,2,1,1,1,80,100
Bright & Central Flat with a View of Union Canal,Bruntsfield,Apartment,Entire home/apt,4,1,2,2,75,97
Beautiful Flat in the heart of Edinburgh!,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,1,2,2,95,92
Spacious King Size room close to the City Centre,Morningside and Craighouse,House,Private room,2,1,1,1,35,87
Modern City Centre apartment with balcony,Broughton South,Apartment,Entire home/apt,4,1,0,1,100,NA
Own entrance Dbl Room w ensuite Shower Rm/Parking,Blackhall,Guest suite,Private room,2,1,1,1,50,99
Bright 2 bedroom flat in Marchmont,Marchmont East and Sciennes,Apartment,Entire home/apt,4,1,2,2,195,NA
Comfy 2 bedroom on Lindsay Road,Western Harbour and Leith Docks,Apartment,Entire home/apt,4,2,2,2,110,99
"Stylish 2 storey festival flat, 10 mins to Center",Great Junction Street,Apartment,Private room,3,2,2,2,127,96
Cosy room with comfy bed in a vintage flat,Newington and Dalkeith Road,Apartment,Private room,1,1,1,1,27,95
"Double Bedroom in the Royal Mile, next to Palace","Canongate, Southside and Dumbiedykes",Apartment,Private room,2,1,1,1,55,90
Traditional flat in central Edinburgh,Comely Bank,Apartment,Entire home/apt,4,1,2,2,75,100
"Bright Spacious 1 Bed, Super Location City Centre",Polwarth,Apartment,Entire home/apt,2,2,1,1,185,NA
Stunning Kingsize Bedroom - Free Parking - Central,Meadowbank and Abbeyhill North,Townhouse,Private room,2,1,1,1,100,94
Central Room for 1/2 guests in Vibrant Southside,"Canongate, Southside and Dumbiedykes",Apartment,Private room,2,1,1,1,35,97
Bright & Spacious Bruntsfield Flat,Bruntsfield,Apartment,Entire home/apt,6,1,2,2,83,100
City-Centre King-Size room and Twin Room,Broughton South,House,Private room,4,1,2,3,65,83
Great Room - Excellent Location,Marchmont West,Apartment,Private room,1,1,1,1,32,100
Lovely sunny double bedroom in marchmont,Morningside,Apartment,Private room,2,1,1,1,30,NA
Spacious 3 Bed 2 Bath Apt 2 minutes from Canal,Bruntsfield,Apartment,Entire home/apt,6,2,3,3,98,NA
Huge Luxury Townhouse in the City Centre,Hillside and Calton Hill,House,Entire home/apt,10,3,4,6,200,96
Sunny double bedroom,Newington and Dalkeith Road,Apartment,Private room,1,1,1,1,15,97
An apartment in Stockbridge,Stockbridge,Apartment,Entire home/apt,4,1,1,2,1000,75
Contemporary home in heart of Scotland’s capital,Colinton Mains and Firrhill,House,Entire home/apt,6,2,3,3,220,NA
Sunny flat in vibrant Leith,Bonnington,Apartment,Entire home/apt,6,1,3,4,66,100
An oasis of calm near Edinburgh airport,Queensferry East,House,Private room,2,1.5,1,1,48,99
Stunning Victorian city flat with castle view,Meadows and Southside,Apartment,Entire home/apt,5,2,2,3,80,99
"Scandi Charm, Hidden Gem on Cobbled Thistle Street",New Town West,Apartment,Entire home/apt,8,1,3,5,175,93
Welcoming One Bedroom Flat,Polwarth,Apartment,Entire home/apt,4,1,1,1,56,96
5% DISCOUNT! Hygge Retreat In Central Edinburgh,Meadows and Southside,Apartment,Entire home/apt,4,1,2,2,90,100
"Beautiful, Quiet 1 Bedroom Flat in Central Leith",South Leith,Apartment,Entire home/apt,2,1,1,1,55,98
"Park View,City Centre,Free Underground Parking",Meadowbank and Abbeyhill North,Apartment,Entire home/apt,2,2,1,1,85,99
Beautiful 1 Bed Flat Near City Centre,Polwarth,Apartment,Entire home/apt,3,1,1,2,60,87
Central Edinburgh Period Town House,"Inverleith, Goldenacre and Warriston",Townhouse,Entire home/apt,7,3,4,5,300,93
Double bedroom in central flat,Gorgie West,Apartment,Private room,2,1,1,1,51,98
Bright Flat with private room and bathroom,North Leith and Newhaven,Apartment,Private room,2,1,1,1,50,100
Bright double room in the centre of Edinburgh,Broughton North and Powderhall,Apartment,Private room,2,1,1,1,40,100
"3 Bed flat with garden, central location",Easter Road and Hawkhill Avenue,Condominium,Entire home/apt,6,2,3,5,300,98
Comfortable & Quiet Two Bedroom Meadows Flat,Marchmont East and Sciennes,Apartment,Entire home/apt,4,1,2,2,80,94
Gorgeous 2 bed home in Stockbridge - Sleeps 4,Stockbridge,Apartment,Entire home/apt,4,1,2,2,100,96
"Jasper, home in a secret garden by the Royal Mile","Canongate, Southside and Dumbiedykes",Loft,Entire home/apt,5,1,2,4,129,100
Cosy and Central Two Bedroom Haymarket Flat,Deans Village,Apartment,Entire home/apt,4,1,2,2,72,96
The Great view & lovely penthouse Edinburgh 顶层海景公寓,Granton and Royston Mains,Serviced apartment,Private room,2,2,2,1,55,95
Cheap and Luxurious Fringe Festival Double Bedroom,Meadows and Southside,Apartment,Private room,2,1,1,1,25,100
"Lovely central 4 bed home - festival, Xmas etc",Greenbank and The Braids,House,Entire home/apt,6,3,4,4,215,100
"Quiet, clean, comfortable room next to Meadows.",Marchmont West,Apartment,Private room,1,1,1,1,50,100
Large Ensuite Double Bedroom in Fantastic Location,Broughton South,Apartment,Private room,2,1,1,1,75,100
Comfortable Two Bedroom Pad!,Hillside and Calton Hill,Apartment,Entire home/apt,5,1,2,4,60,89
"Spacious, family home within 15 mins of city.","Inverleith, Goldenacre and Warriston",Apartment,Entire home/apt,6,1.5,2,4,160,100
Tranquil city centre hideaway.,Deans Village,Apartment,Private room,2,1,1,2,40,99
"Abbeyhill Flat, Edinburgh",Abbeyhill,Apartment,Entire home/apt,3,1,2,3,120,95
Luxury apartment close to shore,Pilrig,Apartment,Private room,2,1,1,1,35,100
Cosy private room 20mins from city 15mins airport,Clermiston and Drumbrae,Apartment,Private room,2,1.5,1,2,30,80
Private double room & bathroom near bus links.,East Craigs South,House,Private room,2,1,1,1,40,98
Cosy one bedroom apartment in Leith.,Western Harbour and Leith Docks,Apartment,Entire home/apt,2,1,1,1,60,86
"2 bedrooms close to airport&city, with parking",Clermiston and Drumbrae,Bungalow,Private room,4,1,2,3,48,NA
Double sized specey central room with amazing view,"Canongate, Southside and Dumbiedykes",Apartment,Private room,2,1,1,1,35,89
Double room in central Edinburgh,Balgreen and Roseburn,Bungalow,Private room,2,1,1,1,80,NA
Double Room:  Female Students/Professionals Only,Craigmillar,Apartment,Private room,2,1,1,2,25,93
"Bright, stylish apartment - free parking",Bonnington,Apartment,Entire home/apt,4,1,2,2,150,98
Central Flat,Broughton North and Powderhall,Apartment,Entire home/apt,2,1,1,1,90,86
Cosy private bedroom in city centre,New Town West,Apartment,Private room,2,1,1,1,120,95
Beautiful & Cosy 1 Bedroom Edinburgh Apartment,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,2,1,1,1,33,96
Double room in beautiful Edinburgh flat near Shore,Great Junction Street,Apartment,Private room,2,1,1,1,50,98
Comfortable double bedroom in friendly modern flat,Western Harbour and Leith Docks,Apartment,Private room,2,1,1,1,35,96
Double Room - Self Serve Breakfast- Great Location,Corstorphine North,Bungalow,Private room,2,1,1,1,35,98
"Quiet central 2 bedroom, ground floor Apartment",Marchmont East and Sciennes,Apartment,Entire home/apt,4,1.5,2,2,101,98
2 Bedroom Apt in the Heart of the City Centre!,Deans Village,Apartment,Entire home/apt,6,1,2,3,120,86
Newhaven Grand Apartment,North Leith and Newhaven,Apartment,Entire home/apt,15,2,4,12,195,92
(View)room 5minutes to royal mile in city center.,"Canongate, Southside and Dumbiedykes",Apartment,Private room,3,1.5,1,2,48,86
Friendly double room in charming central Edinburgh,Marchmont West,Apartment,Private room,2,1,1,1,55,97
Super Central Apt on Rose St- Sleeps 6,Deans Village,Apartment,Entire home/apt,6,1,2,3,140,92
Butterfly lovely apartment .,Restalrig (Loganlea) and Craigentinny West,Apartment,Entire home/apt,4,1,1,1,76,100
Quiet oasis in the heart of city - stunning views!,Stockbridge,Apartment,Entire home/apt,4,1,1,2,100,98
Central Edinburgh - Refurbished Victorian Flat,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,1,1,1,75,98
"Cosy Central Double Bedroom, private parking",Canonmills and New Town North,Apartment,Private room,2,1,1,1,63,88
Cosy New Town Apt 10 Minutes Walk from Princes St.,Stockbridge,Apartment,Entire home/apt,2,1,1,1,500,93
Modern Flat scenic view of Newhaven Harbour,North Leith and Newhaven,Apartment,Entire home/apt,4,1,2,2,108,NA
Central flat close to Leith Walk,North Leith and Newhaven,Apartment,Entire home/apt,2,1,1,1,61,100
Bright double bedroom in city centre,Meadowbank and Abbeyhill North,Apartment,Private room,2,1.5,1,1,45,99
A seaside home for up to 6 at Edinburgh's seafront,Portobello,House,Entire home/apt,6,1,2,3,175,100
Luxury central Georgian apartment (2 bedrooms),Stockbridge,Apartment,Entire home/apt,4,1,2,2,325,100
A double room by the beach (Portobello),Portobello,House,Private room,2,1,1,1,49,NA
Large beautiful recently modernised accommodation,Portobello,Apartment,Entire home/apt,6,1,3,4,99,99
Beautiful flat in charming Morningside,Morningside and Craighouse,Apartment,Entire home/apt,6,1,3,3,190,94
Brand new charming luxury 3 bed apt - New Town,New Town East and Gayfield,Apartment,Entire home/apt,8,2,3,4,149,97
Sunny double room close to city centre,Leith (Albert Street),Apartment,Private room,2,1,1,1,38,NA
"Modern, Luxury apartment in Strada Development",Boswall and Pilton,Apartment,Entire home/apt,4,1,2,2,89,94
Private room / UK Double bed / Private bathroom,Boswall and Pilton,Apartment,Private room,2,1.5,1,1,50,96
Contemporary apartment with car parking facilities,Great Junction Street,Apartment,Private room,2,2,1,1,50,98
"Quiet Edinburgh bedroom, priv parking, frWiFi","Inverleith, Goldenacre and Warriston",Apartment,Private room,1,1,1,1,30,92
"Bright 2 bed flat near Royal Mile, sleeps 6.",Abbeyhill,Apartment,Entire home/apt,6,1,2,3,110,92
"Cosy and Bright Dbl Bedroom w WIFI, Free parking",Restalrig and Lochend,Apartment,Private room,1,1,1,1,21,95
ELTON JOHN,Gorgie West,Apartment,Private room,3,1,1,2,45,80
Central 2 bedroom flat ideal for families/couples,Broughton South,Apartment,Entire home/apt,4,2,2,2,160,97
Central spot.,Tollcross,Apartment,Entire home/apt,3,1,1,2,70,89
Private room in flat,Craigmillar,Apartment,Private room,1,1,1,1,20,99
Three Bed on the Royal Mile (sleeps 6),"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,6,1,3,4,115,92
Bright double bedroom near Haymarket Station,Dalry and Fountainbridge,Apartment,Private room,2,1,1,1,39,100
Charming and cosy apartment,Leith (Albert Street),Apartment,Entire home/apt,2,1,1,1,75,99
"Quiet, bright, apartment with views",Pilrig,Apartment,Entire home/apt,4,1,2,2,85,96
Double bedroom w/ private bathroom. Central.,Polwarth,Townhouse,Private room,2,1,1,1,45,96
Private spacious double room in the West End,Dalry and Fountainbridge,Apartment,Private room,2,1,1,1,60,89
King-sized bedroom in central Edinburgh,Broughton North and Powderhall,Apartment,Private room,2,1,1,1,20,NA
King-size room in central Edinburgh,Broughton North and Powderhall,Apartment,Private room,2,1,1,1,20,NA
Cosy Room with Private Bathroom,Slateford and Chesser,Apartment,Private room,2,1,1,1,65,NA
Single bedroom (shared bathroom) with parking.,Parkhead and Sighthill,House,Private room,1,1,1,1,55,95
Budget Double Room with wifi - 1.5m to city centre,Drylaw,Apartment,Private room,2,1,1,1,37,97
Tenement flat over looks the park,Shandon,Apartment,Entire home/apt,4,1,2,2,85,93
Spacious doble room in an amazing location,Marchmont East and Sciennes,Apartment,Private room,2,1,1,1,50,93
Central double room in Grassmarket for Fringe!!!,"Old Town, Princes Street and Leith Street",Apartment,Private room,2,1,1,1,95,100
"2-bed flat with garden access, walk to Haymarket",Gorgie East,Apartment,Entire home/apt,4,1,2,2,89,93
Double bed Close to City and Many Attractions,Great Junction Street,Apartment,Private room,2,1,1,1,65,97
2 bedroom cottage in South Queensferry,"Dalmeny, Kirkliston and Newbridge",House,Entire home/apt,4,1,2,2,150,97
Comfortable and clean 1 bed flat - Great location!,Polwarth,Apartment,Entire home/apt,2,1,1,1,80,98
Beautiful large 2 bedroom flat in Morningside,Morningside and Craighouse,Apartment,Entire home/apt,6,1,2,4,80,90
"Beautiful, spacious flat in the heart of Edinburgh",New Town East and Gayfield,Apartment,Private room,2,2,1,1,100,100
Small but comfortable,Leith (Hermitage and Prospect Bank),Apartment,Private room,1,1,1,1,26,97
Historic and trendy Edinburgh city centre flat,Deans Village,Apartment,Entire home/apt,2,1,2,2,100,99
Spacious City Centre Garden Flat,New Town West,Apartment,Entire home/apt,4,2,2,3,97,93
A dedicated airbnb apartment,Stockbridge,Apartment,Entire home/apt,6,1,1,3,95,99
Spacious 1 Bedroom Flat Central Location Edinburgh,Abbeyhill,Apartment,Entire home/apt,3,1,1,2,55,100
Ground floor comfortable Stockbridge apt,Stockbridge,Apartment,Entire home/apt,2,1,1,1,69,87
2 Bed Modern Apartment in Central Edinburgh Area,Comely Bank,Apartment,Entire home/apt,4,1,2,2,147,98
Luxury modern high spec apartment in Edinburgh,Dalry and Fountainbridge,Apartment,Entire home/apt,6,2,2,2,280,NA
BEAUTIFUL 2 bed apartment stunning views!!,Slateford and Chesser,Apartment,Entire home/apt,4,2,2,3,130,97
Two bedroom apartment with private parking,South Leith,Apartment,Entire home/apt,3,1,2,2,150,100
Lovely Morningside flat great for town & country!,Morningside and Craighouse,Apartment,Entire home/apt,4,1,1,2,70,100
"Cosy, bright double bedroom + parking",The Inch,Apartment,Private room,2,1,1,1,34,91
Your Escape in Edinburgh,Boswall and Pilton,Apartment,Private room,2,1,1,1,38,99
Modern 2 Bed Flat. Great for Festival & Princes St,West Pilton,Apartment,Entire home/apt,6,2,2,3,130,100
Double bedroom in modern flat with free parking,Easter Road and Hawkhill Avenue,Apartment,Private room,2,1,1,1,55,91
Luxury 2 Bedroom Waterfront apartment,Western Harbour and Leith Docks,Apartment,Entire home/apt,4,2,2,2,50,NA
"Edinburgh City Centre 5 Bedroom Flat,very spacious",Meadows and Southside,Apartment,Entire home/apt,10,1.5,5,5,280,80
Spacious room with en suite in central Edinburgh,Tollcross,Apartment,Private room,2,2,1,1,100,NA
"Super central, homely spacious room w castle views",Tollcross,Apartment,Private room,2,1,1,1,55,100
Bright Flat for The Festival,Bruntsfield,Apartment,Entire home/apt,5,1,3,3,200,96
Bright spacious 2 bed flat in fantastic location,Polwarth,Apartment,Entire home/apt,6,2,2,3,260,100
The best view & lovely penthouse Edinburgh 顶层海景公寓2,Granton and Royston Mains,Serviced apartment,Private room,2,2,1,1,45,93
Lovely private spacious bedroom in central Edin.,Tollcross,Apartment,Private room,2,1.5,1,1,45,87
1 bedroom apartment close to festival venues.,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,2,1,1,1,70,90
Cosy double bedroom. Central flat. Relaxed home.,Newington and Dalkeith Road,Apartment,Private room,2,1.5,1,1,53,97
Private room in spacious Newhaven flat EH6,Bonnington,Apartment,Private room,2,2,1,1,20,NA
"Bright, Modern Flat - Excellent Transport Links",Corstorphine South,Apartment,Entire home/apt,4,1.5,1,1,35,97
Spacious double bedroom in Edinburgh's Bruntsfield,Merchiston and Greenhill,Apartment,Private room,2,1,1,1,60,100
"Superb, bright flat in heart of the city.",New Town East and Gayfield,Apartment,Entire home/apt,7,2,3,4,199,97
Modern 2 Bed Apartment in Edinburgh,Slateford and Chesser,Apartment,Entire home/apt,4,2,2,2,114,98
"Small double room, central location, great views","Canongate, Southside and Dumbiedykes",Apartment,Private room,2,1,1,1,45,97
Top Floor Flat off the Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,6,1,2,3,100,98
1 Bed Apartment close to the City Centre,Polwarth,Apartment,Entire home/apt,4,1,1,2,100,100
First - 18/2 St Johns Hill Apartment,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,8,2,3,3,199,100
Bright and spacious 2 Bed in the Shore,The Shore and Constitution Street,Apartment,Entire home/apt,4,1,2,2,79,94
Artsy Garden Flat in the Canonmills,Canonmills and New Town North,Apartment,Entire home/apt,4,1,1,2,150,NA
Festival home away from home,Colinton Mains and Firrhill,House,Entire home/apt,4,1,3,3,70,95
"Central 2 bed garden flat, available Hogmanay",Polwarth,Apartment,Entire home/apt,5,2,2,3,102,100
"Bright, Homely Double Room in Edinburgh",Trinity,Apartment,Private room,2,1,1,1,50,100
Spacious double room+kitchen+bathroom+lounge(2ppl),Stockbridge,Condominium,Private room,2,1,1,1,54,100
FREE PARKING! Superfast internet. Lovely location,Great Junction Street,Apartment,Entire home/apt,6,1,2,3,79,98
Beautiful 2 bed close to Haymarket and Princes St.,Dalry and Fountainbridge,Apartment,Entire home/apt,6,1,2,3,1000,92
Stylish City Center apartment with private parking,New Town East and Gayfield,Serviced apartment,Entire home/apt,4,2,2,2,170,92
"City Centre apartment, ideal for Festival.",Tollcross,Apartment,Entire home/apt,7,1.5,4,4,190,NA
Beautiful newly decorated - 2 bed Apartment,Balerno and Bonnington Village,Apartment,Entire home/apt,5,1.5,2,5,95,98
Beautiful cosy self contained central flat,Broughton North and Powderhall,Apartment,Entire home/apt,4,1,1,2,65,98
Spacious well located in Leith the  Shore.Car park,Western Harbour and Leith Docks,Apartment,Private room,2,1,1,1,39,95
Mapmakers Townhouse @ South Gray Street,The Grange,House,Entire home/apt,6,3,3,3,563,100
Large Double room with Pentland Views in Edinburgh,Corstorphine,Apartment,Private room,2,1,1,1,40,100
Castle view double bedroom in perfect location,Bruntsfield,Apartment,Private room,2,1,1,1,46,99
Double room Edinburgh,Hyvots and Gilmerton,Apartment,Private room,2,1,1,1,30,98
Lovely 2 Bedroom Modern Flat in Edinburgh,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,1,2,3,45,80
Modern city centre flat - sleeps 3,Hillside and Calton Hill,Apartment,Private room,3,1,2,2,70,100
Luxury Quartermile apartment in heart of Edinburgh,Meadows and Southside,Apartment,Entire home/apt,2,1,1,1,280,97
Large Warm Edinburgh Apartment Central location,Leith (Albert Street),Apartment,Entire home/apt,4,1,2,2,95,94
Spacious 2 Bedroom Apartment near Holyrood Park,Willowbrae and Duddingston Village,Apartment,Private room,4,1.5,2,2,267,97
"Family friendly, central with parking and garden!",Bruntsfield,Townhouse,Entire home/apt,5,1,3,3,175,100
17 day let - 10 minute walk from city centre,Bruntsfield,Apartment,Private room,1,2,1,1,10,NA
Cosy one bed flat close to town centre,Gorgie West,Apartment,Entire home/apt,3,1,1,2,68,91
Cosy en-suite room on the Shore,Western Harbour and Leith Docks,Apartment,Private room,2,1,1,1,40,92
Comfortable 3 bedroom house with private garden.,Boswall and Pilton,House,Entire home/apt,6,1,3,4,125,87
Comfortable room close to the sea,Drylaw,Townhouse,Private room,2,1,1,1,40,98
Edinburgh Gardenroom with a Stunning View,"Blackford, West Mains and Mayfield Road",Guest suite,Entire home/apt,2,1.5,1,2,65,99
Incredible Central Apartment,Meadows and Southside,Apartment,Entire home/apt,2,1,1,1,160,100
Bright and spacious one bedroom flat in Edinburgh.,Hillside and Calton Hill,Apartment,Entire home/apt,2,1,1,1,63,80
Super Central Room w/ Extras ★ 1500+ Reviews - R3,Tollcross,Apartment,Private room,2,1,1,1,47,85
Cosy Central Room w/ Extras ★ 1500+ Reviews - R2,Deans Village,Apartment,Private room,2,1,1,1,47,83
Large Central Room w/ Extras ★ 1500+ Reviews - R1,Deans Village,Apartment,Private room,4,1,1,2,56,86
FREE PARKING| 30 minute walk to Princes Street,Great Junction Street,Apartment,Private room,2,1,1,1,45,97
FRINGE FESTIVAL: Central Double Room Leith Walk,Leith (Albert Street),Apartment,Private room,2,1,1,1,44,93
City and Crags,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,2,2,96,92
Bright 1 bedroom flat in central Edinburgh,Dalry and Fountainbridge,Apartment,Entire home/apt,4,1,1,2,120,88
Central&Cosy en suite Double room,Longstone and Saughton,Apartment,Private room,2,1,1,1,28,95
Trendy and Spacious Stockbridge Apartment,Comely Bank,Apartment,Entire home/apt,4,1,2,2,115,75
Tiny but very Cosy DOUBLE ROOM,Broughton South,Apartment,Private room,2,1,1,1,47,85
Perfect City Centre Location 50m From Princes St,Tollcross,Apartment,Entire home/apt,6,1,3,5,150,95
"Lovely 2 double bedroom flat, close to West End",Dalry and Fountainbridge,Apartment,Entire home/apt,4,1,2,2,100,100
Double room in Edinburgh City Center (Haymarket),Dalry and Fountainbridge,Apartment,Private room,2,1,1,1,35,94
Fantastic flat in Stockbridge! Sleeps 3,Canonmills and New Town North,Apartment,Entire home/apt,3,1,2,2,45,94
Double Bedroom Available During Fringe!,Morningside,Apartment,Private room,2,1,0,1,50,NA
Lovely one bedroom flat in central Edinburgh,Broughton North and Powderhall,Apartment,Entire home/apt,3,1,1,1,84,97
"Lovely flat 15mins to city centre, firework views",Leith (Hermitage and Prospect Bank),Apartment,Entire home/apt,2,1,1,1,50,94
Stunning New Town apartment w/ parking & garden,New Town East and Gayfield,Apartment,Entire home/apt,6,2,2,4,250,97
Get a Futuristic Feel at a Charming Mews Apartment,New Town West,Apartment,Entire home/apt,4,1,2,2,80,97
2 bedroom flat in Central Edinburgh - Festival Let,Bruntsfield,Apartment,Entire home/apt,2,1,1,1,112,90
Situated on Henderson Row in the New Town,Canonmills and New Town North,Apartment,Entire home/apt,4,2,2,2,75,98
Comfortable and quiet 2 bedroom flat.,Deans Village,Apartment,Entire home/apt,4,2,2,2,120,90
Quiet City Centre Spacious Apartment,New Town East and Gayfield,Apartment,Entire home/apt,4,1,2,2,80,97
Central 2-bedroom Flat,Meadows and Southside,Apartment,Private room,2,1,1,1,65,NA
Stunning 2 bed Georgian flat in the city centre,New Town East and Gayfield,Apartment,Entire home/apt,4,2,2,2,110,98
Spacious 3 Bed Central Apartment w/ Roof Terrace,New Town West,Apartment,Entire home/apt,6,2,3,4,130,98
"Lovely 1 bed, main door flat in excellent location",Pilrig,Apartment,Entire home/apt,2,1,1,1,75,100
Ensuite Double Room in Serviced Aparthotel,Easter Road and Hawkhill Avenue,Apartment,Private room,2,1,1,1,55,NA
Large comfy double bedroom,Clovenstone and Wester Hailes,Apartment,Private room,2,1,1,1,100,87
Beautiful Holyrood Park Apartment -Near Royal Mile,Abbeyhill,Apartment,Entire home/apt,2,1,1,1,40,97
Large comfortable double room,Clovenstone and Wester Hailes,Apartment,Private room,2,1,1,2,100,91
Spacious & quiet bedroom,Prestonfield,Apartment,Private room,2,1,1,1,62,100
"Spacious, comfortable room in central Edinburgh.",Leith (Albert Street),Apartment,Private room,2,1.5,1,1,41,96
Gorgeous double room in secure modern development,Tollcross,Apartment,Private room,2,1,1,1,46,95
Stylish apartment in the heart of the Old Town,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,85,92
Artist's home 5 minutes from city centre.,Abbeyhill,House,Private room,1,1,1,1,30,97
Attractive 1 bedroom city centre apartment,Polwarth,Apartment,Entire home/apt,2,1,1,1,90,100
Bright and Quiet room close to City Centre,Restalrig (Loganlea) and Craigentinny West,Apartment,Private room,2,1,1,2,18,95
Homely Edinburgh Flat,Polwarth,Apartment,Entire home/apt,4,2,3,3,100,100
Flexible and cozy room for two.,West Pilton,Apartment,Private room,2,1,1,2,60,94
First - 18/3 St John's Hill Apartment,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,8,2,2,2,199,100
Two bedroom spacious modern flat near city centre,"Inverleith, Goldenacre and Warriston",Apartment,Entire home/apt,4,2,2,2,200,100
Bright & spacious City centre flat.,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,5,1,2,3,90,98
2 bedroom flat in central Edinburgh (festival let),"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,3,1,2,2,199,95
Detached 4 bedroom inside hottub & secluded garden,Comiston and Swanston,House,Entire home/apt,8,3,4,4,300,100
Abercromby Place Apartment: City Centre Retreat w/ Private Garden,New Town West,Apartment,Entire home/apt,6,2,2,3,79,93
Large double bedroom,Fernieside and Moredun South,House,Private room,2,1,1,1,19,96
Stunning 2 bedroom flat  in the Heart of Leith,Pilrig,Apartment,Entire home/apt,5,1,2,2,72,98
Cosy Quiet Double Room in Edinburgh,Morningside and Craighouse,Apartment,Private room,2,1,1,1,38,100
Brilliant holiday flat off Leith Walk,Leith (Albert Street),Apartment,Entire home/apt,2,1,1,1,90,87
Quiet double bedroom close to city centre.,"Craigleith, Orchard Brae and Crewe Toll",Apartment,Private room,2,1,1,1,43,84
Peaceful City Living- 2 Bedroom House in Haymarket,Deans Village,House,Entire home/apt,4,1,2,2,60,93
Quiet double room a short walk from city centre,Marchmont West,Apartment,Private room,2,1,1,1,75,67
room in shared flat. Great location.,Marchmont East and Sciennes,Apartment,Private room,2,1,1,1,65,93
"Cottage flat with private garden, Edinburgh",Stockbridge,Apartment,Entire home/apt,4,1,1,2,120,93
Entire apartment/flat,Broomhouse and Bankhead,Apartment,Entire home/apt,4,1,0,4,90,80
Bright central Edinburgh top floor tenement flat,Hillside and Calton Hill,Apartment,Entire home/apt,2,1,1,1,73,NA
Large confortable private room,Colinton and Kingsknowe,Apartment,Private room,2,1,0,1,100,85
Quiet two bedroom flat in leith.,Easter Road and Hawkhill Avenue,Apartment,Entire home/apt,4,2,2,2,120,80
Modern Leith Flat 15 Minutes to Princes St,The Shore and Constitution Street,Apartment,Entire home/apt,6,2,2,3,70,89
Spacious Edinburgh Apartment with Pool & Parking,Dalry and Fountainbridge,Apartment,Entire home/apt,4,1,1,2,80,97
Double room with private bathroom in garden flat,Newington and Dalkeith Road,Apartment,Private room,2,1,1,1,75,99
Bright 2 bedroom Flat near Haymarket station,Dalry and Fountainbridge,Apartment,Entire home/apt,6,1,2,2,95,90
Spacious and lightly double bedroom in Leith,Easter Road and Hawkhill Avenue,Apartment,Private room,2,1,1,1,50,80
5-star Luxurious George Street Apartment (2 bedroom/2bathroom),"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,4,2,2,2,100,95
Kings theatre city centre 3 bedrooms sleeps 10,Bruntsfield,Apartment,Entire home/apt,10,1,4,7,175,96
Classic New Town flat in Edinburgh's west end.,New Town West,Apartment,Entire home/apt,4,1,2,2,200,NA
"2 bedroom Apartment, Free parking onsite",Meadowbank and Abbeyhill North,Serviced apartment,Entire home/apt,4,2,2,4,450,100
